Video_Title,Yayıncı_Kullanıcı_Adı,Video_Yayın_Tarihi,Video_Like_Sayısı,Video_Dislike_Sayısı,Yorum_Metni,Yorum_Tarihi,Yorum_Kullanici_Adi,Yorum_Like_Sayisi,Yorum_Dislike_Sayisi,Yorum_Reply_Sayisi,Duygu_Durumu
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Cok güzel anlatıyorsunuz. Harika. Ama akademik olarak bazı eksiklikler var. Literatürde bu anlattiginiz gibi değil.,2025-10-26,@farukbulut5319,1,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Chatgpt reklamı çıktııı,2025-10-26,@Yusuf31931,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Nüfus kaçınılmaz olarak düşecek. Bence,2025-10-23,@Ulas-g5z,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Yerli ve milli yatay zekalar nasıl anlasın,2025-10-21,@armagtube,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,19:43 Buradaki ilerleme daha gelmedi mi hocam ? :) sabırsızlıkla bekliyoruz... İyi çalışmalar,2025-10-19,@huseyinulupinar392,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Teşekkürler,2025-10-19,@ulkukurutas4507,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Abartmayın goglenin seslisi,2025-10-15,@01emrecokovun,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Anlattığın tüm bilgileri yapay zekadan mı aldın 🤣,2025-10-15,@ismailEfendi54,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,beynim yandı gankiii,2025-10-15,@mehmetsagdic328,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,benim beyin yandi,2025-10-11,@goksimiratsch5961,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"Bilim hakkında pek bilgim yok kusura bakmayın  bu açıklamada sizin yönlendirmeniz doğrultusunda yapmış bulundum  yapay zeka benzeri bir durum oluştu  telefon ile görsel oluştururken  ön ve arka kameranızı kapatıp  arama yapın aynı aramayı birde açıkken yapın  
Yolda yürürken  birisi hakkında düşünce  oluşturmak gibi   eğer gördüğün kişi sana net ve mimiksiz şekilde bakıyor olursa  seni düşünce kaybına itmiş olurdu bilgi net olduğu için  eğer gülerek bakarken başka yöne bakıyor olsaydı  bilgi parçalar ayrılmış olurdu    ( varım O'halde düşünüyorum)",2025-10-09,@ÇzxcğbX,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"blackbox olarak adlandırılan olayın girdi verisinin veri tiplerine göre işlenmesinin bir algoritmik  fonksiyonlar matematiği ve bunun olasılıksal yorumlaması ile çözümlenebilir olduğunu düşünüyorum. Bu arada yaptığın işin önemi , değeri ve anlamının takdir edilesi seviyede olduğunu düşünüyorum iyiki varsın ve bu işi yapıyorsun Çağrı Abi 👍✌🧠🫀💪",2025-10-07,@İbrahimTopacık-m9q,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Sakız orucu bozar mı ?,2025-10-05,@ahmetmutlu2622,0,none,1,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"🛑Evrim Ağacı, ara sinir ağları ve sonuca ulaşan ağlar, tek bir şekilde çalışıyor. Elektrik maliyeti. Bunu şöyle açıklayım. Ara ağlar ve sonucu veren ağlar, birer led ampül olsun. 1 amperlik birer led ampül. Bunlar yanlış cevaba yandığı zaman 1 birim elektrik harcamış oluyor. Bu yanlış yanan ledler 3 ya da 4 olduğunda, bir maliyet oluşturuyor. Bilim insanları programa bu maliyetleri azaltmasını ve elektrik harcamasını düşürmesini istiyorlar. Yapay zeka bunun üzerine daha ayrıntılı verileri toplamaya başlıyor. Haliyle her şey, ama herşey sayıdan ibaret. 1’ler ve 0’lar.
Yapay zeka ilk çıktığında ben onları takoz cep telefonlarına benzetmiştim. Oysa olması gereken şuanki cep telefonlarıydı. Peki şuan nasıl. Neo’nun o meşhur şlak diye açılan cep telefonu düzeyinde. 
Peki ben nasıl olmasını istiyorum. Örneğin YZ ye bir manzara resmi gösterdiğimizde, mesela amazon nehrinden küçük bir kare. Bunu YZ verilerini tarayıp, cevabı doğru verebiliyor. Oysa tüm verilere konum bilgisi eklenmesi gerekir diyorum. 1piksellik noktaya bile. Ama bu konu dünyasal değil, yıldız konumlarına bakarak verilmeli. Çünkü doğru zamana ve konum bilgisine ancak öyle ulaşılır. Örneğin ben Jupiter’e bir drone göndersem ve ayın resmini çeksem. Buna benim bahsettiğim konum bilgisini yüklesem. YZ ye sorduğumda doğru cevabı verir mi, veremez mi? Gerçek konum bilgisi olmadan ne YZ ne de insanoğlu Hakikate ulaşamaz. Sonuç daima hatalar ve yalanlarla dolu olur ve bu bizi daima yanılgıya götürür.",2025-10-03,@cesurkaratas8111,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,❤,2025-10-01,@yunusguney659,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"Gpt nerede? Bu bir çip gibi bir şey mi? 
Elektirik mi acaba. Yapay zeka gerçekten nerede? Somut bir şey mi?",2025-09-27,@SİRİUS_YILDIZIM,1,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,🙄🤔🤨,2025-09-24,@HavvaDaggul-zr7ji,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,hiç bir saniyesini atlamadan ve hatta arada bir geri sarıp ''NE DEDİ - NE DEDİ '' diye tekrar tekrar izlediğim tek  muhteşem insan ...çok yaşa Evrim abi ...,2025-09-23,@denemedeneme-zo4dk,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Adamlar yapmiṣ abe😅,2025-09-23,@Irmak_nl,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,teşekkürler,2025-09-21,@sefa.akkaya,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Teşekkürler,2025-09-21,@ulkukurutas4507,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Ben gogıldaki ben robot değilim aşamasını geçemiyorum,2025-09-21,@AliYk-qi4un,1,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,yapay zekayla ilgili her şey artık daha imkansız gözüküyor 😅,2025-09-20,@Bthechosenone,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"""O zaman ne olacak ""?!

-Yapay zeka neden süper ?
-Kontrolü insanda ve işimize yatadığı için.

Yapay zeka, yazılım mimarisini de kendi yaparsa....?!
Kendi keyfiyet , tercihleri olur.
""İnsan için""olmaktan çıkar.
Tehlike de burada.",2025-09-18,@Suela-dk7zu,1,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Evrim ağacı sayesinde dahada geliştim merakım olsn konuları anladım,2025-09-17,@NightcupmilaYt,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,O kadar hızlı anlatıyorsun ki başım ağrıyor sesinden. Bir insan aralıksız anlatır mı yahu. İçerik guzel ama yorucu,2025-09-16,@kemalaslan5257,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Bence bı çok insandan daha iyi,2025-09-11,@TaylanGul-jo4ub,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,7:00 arrival izlemiş olanlar nöronlar sanki o filmdeki uzaylılara benzemiyor mu?,2025-09-11,@melisaorgel3652,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Sende olmayan virsey sen anlamazssin,2025-09-11,@BenTennyson_j1c,1,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Tanrimi ?,2025-09-09,@Sbldmrl,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Toplama ve çıkarma işlemi çarpma ve bölme işlemini çöpe attığında teknoloji herşeydir😂😂😂.,2025-09-06,@KasımkayaArslan,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"“Teknoloji çağında en büyük risk, yenilikleri görmezden gelmek.”",2025-09-04,@YatirimGNL,7,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,En yakın arkadaşım tabiki,2025-09-01,@Samet-o4e9t,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Googleden bakıp okuyor iste ya ne zekası. ..,2025-08-31,@Fseker33,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,float t=tanh(z)    ve 	float t = tanh(z); return 1 - t * t; fonksiyonları sağ olsun artık herkes yapay zeka yazıyor,2025-08-26,@alteration1568,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,sonuna kadar izleyip te hiç bişey anlamayan sadece benmiyim acaba,2025-08-10,@cankn,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"dogal beyni birakip yapay ve sahte birseye yönelmek,bana pek dogru gelmiyor. DEMENZ  gibi hastaliklar beyni paramparca yapip yok ediyor ve bunu kurtarma calismalari yapilmiyor ama yapayzeka gibi dogal olmayan seyler piyasay sürüldü. Bilime karsi degilim ,ama bu dogalligi bastirip sahteye yönelmek ,icime pek sinmiyor",2025-08-06,@VerkinAkz,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Teşekkür ederiz emeğine sağlık evrim hocam,2025-08-03,@ademdem1930,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Bence daha çok akinatörü araştırın,2025-07-31,@Cherriesss43,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Evrim.agaci siz.bu kadar iyi biliyorsunuz sizde chatgpt uretebilirmisiniz?❤🧠,2025-07-28,@Welli-ne8eo,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Mükemmel bir teknoloji kod yazmaktan kurtarıyor insanı şunu yapacam diyorsun şak diye kodu veriyor hafif kusurlu bile olsa onu da ısrar edince illa ki düzeltiyor senin hatanı hemen söylüyor yapanlara helal olsun.,2025-07-26,@UMUTSUZUMUT06,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,İşte çıktıktan sonra unutuldum,2025-07-26,@google-n4c4j,0,none,3,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"Milyonlarca kullanıcısı olan yapay zeka uygulamalarında 1 kullanıcının 25 soru sormasıyla, yaklaşık yarım litre su tüketildiğini söyleyen Prof. Dr. Ardalı, ""Yapay zekanın iklim konusunda kurtarıcı olduğu konuşuluyor. Google'ın ABD'deki veri merkezlerinde 2021 yılında soğutma için 12,7 milyar litre tatlı su tükettiği rapor edilmiş. Yapay zeka uygulamalarının su tüketiminin yanı sıra doğaya karbon salınımı da ciddi boyutlarda. Sistem kurgulanırken ve kullanılırken yaklaşık 240 ton karbondioksit ürettiği belirlenmiş. Bir yeri düzeltirken, diğer taraftan da çevresel etkileri dikkate almamız gerekiyor"" dedi.",2025-07-22,@glsm3269,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"2021 yılında ABD’deki Google veri merkezlerinin tek başına yaklaşık 12,7 milyar litre su tükettiği tahmin ediliyor. Bu miktar 6,9 milyon BMW marka otomobil ya da 5,7 milyon Tesla marka elektrikli otomobil üretmek için ihtiyaç duyulan su miktarıyla eş değer.

ChatGPT ve benzeri büyük dil modellerinin eğitilmesini sağlayan veri merkezlerinin bu kadar fazla miktarda su tüketmesindeki temel sebep, sunucularda oluşan ısı problemi. Çok fazla miktarda elektriğe ihtiyaç duyulması ve bu elektriğin sürekli olarak ısı üretmesi, veri merkezlerindeki yüz binlerce sunucunun ısınmasına sebep oluyor. Sunucuları soğuk tutmak için kullanılan soğutma sistemleri ise su ile çalışıyor.",2025-07-22,@glsm3269,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Hay reklamini s2m,2025-07-12,@hagi6001,1,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Chat gpt ye yanlışlıkla TC mi attım bişe olur mu,2025-07-11,@oryo94,0,none,1,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Sadece bu kanaldaki bilgilerle neler yapılmaz? Hepsini ezberleye bilseydik keşke.,2025-07-07,@Miskill433,0,none,1,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Peki transistörlerin çalışma prensibi bu cevabı olmayan soruları cevaplamaya yeterli olmuyor mu acaba,2025-07-05,@iroshe_,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Evrensel bir karmaşa ancak bukadar net ve bukadar anlaşılır muazzamlıkta  izah edilebilir..tebrik ediyorum 🎉🎉🎉,2025-07-05,@iroshe_,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,❤❤❤,2025-07-05,@semsettinsumbultepe1967,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,harika olmus,2025-07-01,@ArıMaya-m2t,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,30:10 nolcak o zaman tamamen sctık,2025-06-28,@Portakal-c3z,1,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,hügola rezil oldu...,2025-06-28,@ezgikaratas3850,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"Evrim Ağacı teşekkürler, yine harika bir video olmuş.Çok iyisin be arkadaş ...",2025-06-25,@umay3417,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,vay be,2025-06-25,@nathasly,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,ben pythonda bunlari programliyordum ama anlamiyordum sizlere ne kadar tesekur etsem az cok iyi anlatiyorsunuz her anlamadigim konuyu cok iyi bir sekilde anliyorum,2025-06-17,@ademdeniz4164,1,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"İyi güzel de tüm bu tekno-bilimsel gelişmelerin insan hayatını bireysel ve toplumsal bazda nasıl, hangi yönde etkilediği, insan ve insana dair olana nasıl müdahalelerde bulunduğu ve tüm bunların ne kadar demokratik olduğu gibi hususlar neden hiç tartışılmaz? Sonuçta bir avuç mega kapitalist şirketin tekel ve güdümünde olan bir süreçten bahsediyoruz, bunlardan ""insanlığa hizmet"" mi bekleniyor?. Tartışmaya, eleştiriye izin vermeyen, kendisini olduğu gibi kabule zorlayan  bir bilim ne kadar bilim olabilir? Bir ara da bununla ilgili bir video yapılırsa çok makbule geçecek.",2025-06-12,@ilkerozunlu1581,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Matematik hocam anlatsa net anlamazdım,2025-06-09,@nurmiss07xx,5,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Abi bana şimdi animasyon yapıyo,2025-06-06,@aliehd755,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Güzel bir anlatım ve bilgilendirme teşekkürler,2025-06-05,@MustafaKemal.tr1,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Google da  sizin yerinize arama yapıp yazılanlara göre bilgileri karşınıza çıkarıyor. yazılanlar ne kadar doğrudur orası muamme ben 3 kez  yanlış bilgisini yakaladım.,2025-06-05,@erdemusics,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Brainup sitesinin linkini keşke yazsaydınız.,2025-06-04,@tariknecefli1731,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,en iyisi deepsek,2025-06-04,@compactred6613,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"Merhaba,ben bunu kullanmaya yeni başladım ve oturum açmadım.Bir ara açtım bilgisayarımda fakat telefonumda oturum açmadan kullandım birkaç kez.Bugün bir şey sorduğumda cihazınızda olağandışı etkinlik tespit edildi hatası veriyor.Neden oluyor bu?",2025-06-03,@melisaklc5723,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Seni ve tüm videolarını seve seve izliyordum taki bazı videoları paralı yapana kadar bu cooook cirkın bir hareket zaten cahil bir ülke olarak bizi aydınlatan videolar yaptığın ıcın çok mutlu olmuştum ama olmadı be dostum olmadı,2025-06-02,@serkangundogdu2342,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,daha görsel üretmeyi bilmiyor nasıl bir uygulama ise 4 gündür 1 görsel üretemedi hiç üretmeden kota dedi sonra 4 gün bekledin 15 görsel vercem hakettin bunu dedi sonra yine vermedi sonra başka platformlar önerdi ben yapamıyorum bunlar yapar diye şaka gibi birşey boşa denemeyin bile azıcık istekleriniz karşıksa yapamıyor,2025-06-01,@KeiRanN06,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Ben Chat CPT sildim. Hep özel sorular soruyor. 😮,2025-06-01,@body-and-spirit27,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Maşallah her şey bilir 😢 2023 kulanıram,2025-05-29,@İkramAlizadegames-k8w,1,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"ciuv ciuv ciuv :)))) ney ney ney? ciuv ciuv ciuv. çocuksu duygularımızı yerle yeksan ettin reis, biz öyle biliyorduk onu çok güldüm yav ciuv ciuv ciuv %&/%^+:D",2025-05-28,@halukkus,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,❤,2025-05-26,@kanalhjk,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Bu evrim ağacı sayfasının sahibi bana ilk başından beri bilgisiz sadece ezberi güçlü herhangi bir insan gibi geliyor. gereksiz bence o yüzden takip etmiyorum,2025-05-25,@STREAMCE,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,14 Mart benim doğum günüm,2025-05-25,@STREAMCE,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"makina sadece taklit eder, kendisi olamaz. Makina hep makinadır.",2025-05-25,@DeepRasyon,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Teşekkürler.,2025-05-25,@dilekasan5835,0,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,her şeyi bilen allahtır. Bunlar müslümanlığa aykırı şeylerdir. Kuranda yazmakta,2025-05-22,@hapichteam,2,none,0,Pozitif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"Bu videonun üstüne
Bir de Çin y.z.'sının farkını derinlemesine anlattiginiz bir video yapabilir misiniz?",2025-05-19,@hakaniyigun5004,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Sevgilimm 🥰,2025-05-18,@Bici_bicili,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"20:47 Var olan ve var olabilecek olan hiçbir istatistik motoru “biz insanlar da aslında muhteşem birer istatistik motorundan İBARETiz” lafını duyduğunda “hssqtr lan ordan” demez. Çünkü diyemezler. Çünkü diyebiliyor olsalardı istatistik motorundan ibaret olmanın dışına taşmış olurlardı. Bu yüzden artık muhteşem olsun-olmasın bir istatistik motorundan ibaret olmazlardı. İstatistik motorundan ibaret olan birileri görmek istersen onları diğer insanların arasında değil de sivri sinek, toprak solucanı vb canlıların arasında aramalısın çağrı kardeş",2025-05-18,@fatih-eq3pr,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,oyle bir konustu ki acaba bende mi yapay zekayim diye kendimden suphe ettim,2025-05-17,@skatesoulhoonৎ,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Token= dopamin ?,2025-05-15,@Red-ex8xu,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Merhaba. Mesleklerde teknolojiyi nasıl kullanabiliriz. Örneğin mimarlık,2025-05-15,@pervinbozkurt7463,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,"Honor 👍
Onur",2025-05-14,@onursahin369,0,none,0,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Biri özet geçebilir mi?,2025-05-11,@Umut_ışık33,0,none,1,Nötr
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,bi gün kendinide anlatmalisin pro ağaç,2025-05-10,@yusuf_emre_kaner,0,none,0,Negatif
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28,28655,0,Nolur daha sakin konuşur musunuz yoruluyo insan dinlerken,2025-05-10,@esilaess,0,none,0,Negatif
